x,Curve1
9.66,0.17962
22.99,0.26382
41.49,0.3227
70.55,0.37863
116.61,0.42335
167.87,0.44981
208.47,0.45979

x,Curve2
10.69,0.14899
31.64,0.22789
55.38,0.27793
80.22,0.30912
107.97,0.3356
142.14,0.35266
183.36,0.36911
233.38,0.38262
270.44,0.38907

x,Curve3
10.54,0.11601
26.63,0.16252
49.13,0.19902
79.27,0.23256
112.89,0.25786
159.43,0.27962
208.86,0.29312
259.46,0.30309
315.33,0.31012
358.25,0.31244

x,Curve4
10.97,0.08244
35.85,0.12306
66.58,0.15896
102.56,0.18602
159.69,0.2113
217.95,0.22657
280.3,0.23653
338.51,0.24061
419.65,0.24643
489.03,0.24991

x,Curve5
10.89,0.06595
47.46,0.09301
83.43,0.11831
125.86,0.14183
195.91,0.16298
295.88,0.17409
379.38,0.18109
469.93,0.1875
644.55,0.20032

x,Curve6
12.53,0.04004
29.04,0.05121
49.61,0.05002
73.19,0.0659
115.62,0.08884
176.84,0.10822
243.3,0.11642
443.79,0.12922
740.72,0.15077

x,Curve7
10.73,0.03179
36.62,0.03707
66,0.03646
117.81,0.05468
194.3,0.0717
275.44,0.07693
381.26,0.08156
498.26,0.08913
745.19,0.10189

x,Curve8
11.26,0.01884
37.72,0.02235
74.77,0.02644
144.18,0.03817
231.2,0.04458
364.06,0.0486
549.83,0.05493
741.47,0.06126

x,Curve9
12.39,0.01059
35.33,0.01293
64.68,0.00525
117.06,0.01934
194.07,0.02282
319.29,0.02684
439.79,0.0291
584.99,0.0337
739.6,0.03829
