PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V
0.3,0.0003,0.00015,0.0003,0.00059,0.0003,0.0003,0.00104,0.00104
0.3,0.0003,0.00015,0.0003,0.00059,0.0003,0.0003,0.00104,0.00104
0.6,0.00111,0.00114,0.0003,0.00059,0.0003,0.0003,0.00104,0.00104
0.6,0.00112,0.00114,0.0003,0.00059,0.0003,0.0003,0.00104,0.00104
0.9,0.00194,0.00214,0.00172,0.00165,0.0003,0.0003,0.00104,0.00104
1.2,0.00276,0.00311,0.00307,0.00268,0.0003,0.00082,0.0013,0.00104
1.5,0.0036,0.0041,0.00439,0.00371,0.0003,0.00192,0.00156,0.00104
2.11,0.00533,0.00611,0.00685,0.0057,0.00271,0.00297,0.00207,0.00104
2.4,0.00618,0.00706,0.0079,0.0066,0.00375,0.00338,0.0023,0.00104
3.93,0.01097,0.01205,0.01239,0.01053,0.00768,0.00499,0.00326,0.00136
3.93,0.01098,0.01206,0.0124,0.01054,0.00769,0.005,0.00327,0.00136
4.54,0.01303,0.01402,0.0138,0.01171,0.00867,0.00548,0.00355,0.00148
4.82,0.01398,0.0149,0.01438,0.01218,0.00905,0.00568,0.00366,0.00153
4.85,0.01406,0.01498,0.01444,0.01222,0.00908,0.00569,0.00367,0.00154
5.4,0.01592,0.01672,0.01551,0.01304,0.00972,0.00606,0.00386,0.00165
9.04,0.02674,0.02611,0.02103,0.01662,0.01214,0.00778,0.00459,0.00231
9.09,0.02685,0.0262,0.02109,0.01665,0.01216,0.0078,0.00459,0.00232
10.2,0.02957,0.0282,0.02242,0.01745,0.01263,0.00817,0.00472,0.00249
10.29,0.02977,0.02834,0.02251,0.01751,0.01267,0.0082,0.00473,0.0025
11.67,0.03287,0.03036,0.02399,0.01841,0.01318,0.00859,0.00488,0.00268
12.97,0.03559,0.03195,0.02523,0.01918,0.01363,0.00891,0.00501,0.00282
13.52,0.0367,0.03257,0.02572,0.01949,0.01381,0.00904,0.00506,0.00287
16.77,0.04281,0.03575,0.02821,0.02116,0.01483,0.0097,0.00536,0.0031
17.23,0.04362,0.03615,0.02852,0.02137,0.01496,0.00978,0.0054,0.00313
19.23,0.04689,0.03784,0.02975,0.02227,0.01554,0.01012,0.00559,0.00323
19.6,0.04744,0.03814,0.02997,0.02243,0.01564,0.01018,0.00562,0.00325
23.34,0.05221,0.04103,0.03191,0.02392,0.01663,0.01073,0.00596,0.00344
25.05,0.05401,0.04224,0.03271,0.02455,0.01706,0.01096,0.00611,0.00353
25.26,0.05422,0.04238,0.03281,0.02462,0.01711,0.01099,0.00613,0.00354
30.58,0.05909,0.04562,0.03506,0.02639,0.01828,0.01165,0.00658,0.00381
31.45,0.0598,0.04608,0.03541,0.02665,0.01845,0.01175,0.00665,0.00385
33.1,0.06107,0.0469,0.03603,0.02713,0.01876,0.01195,0.00678,0.00393
36,0.0631,0.04821,0.03707,0.02792,0.01927,0.01229,0.007,0.00406
37.65,0.06411,0.04888,0.03762,0.02834,0.01954,0.01247,0.00712,0.00413
43.09,0.0668,0.05084,0.03928,0.02953,0.02033,0.01304,0.00747,0.00431
44.43,0.06734,0.05127,0.03965,0.02979,0.02051,0.01317,0.00754,0.00434
45.17,0.06763,0.05151,0.03985,0.02993,0.02061,0.01324,0.00758,0.00435
53.23,0.07036,0.05384,0.04178,0.0312,0.02156,0.01388,0.00796,0.00445
53.32,0.07039,0.05386,0.04179,0.03121,0.02157,0.01389,0.00797,0.00445
53.46,0.07043,0.0539,0.04182,0.03123,0.02158,0.0139,0.00797,0.00445
55.08,0.07095,0.05433,0.04216,0.03145,0.02176,0.01401,0.00803,0.00446
56.65,0.07145,0.05474,0.04248,0.03166,0.02192,0.01411,0.00809,0.00446
71.06,0.07529,0.05806,0.04487,0.03324,0.02319,0.01483,0.00847,0.00452
72.99,0.07571,0.05844,0.04513,0.03342,0.02332,0.01491,0.00851,0.00454
75.1,0.07614,0.05885,0.0454,0.03361,0.02345,0.01499,0.00854,0.00456
75.98,0.07632,0.05902,0.04551,0.03369,0.0235,0.01502,0.00856,0.00457
82.49,0.07752,0.06016,0.04624,0.03421,0.02382,0.01523,0.00865,0.00468
82.64,0.07754,0.06019,0.04626,0.03423,0.02383,0.01523,0.00866,0.00468
84.48,0.07786,0.06048,0.04644,0.03436,0.02389,0.01528,0.00868,0.00472
88.58,0.07853,0.06111,0.04684,0.03463,0.02401,0.01538,0.00873,0.0048
102.18,0.08055,0.06289,0.04802,0.03533,0.02423,0.0156,0.00891,0.00507
107.68,0.08129,0.06351,0.04847,0.03557,0.0243,0.01567,0.009,0.00517
109.19,0.08148,0.06367,0.04859,0.03563,0.02433,0.01568,0.00903,0.00519
114.59,0.08215,0.06421,0.04902,0.03585,0.02443,0.01574,0.00914,0.00526
115.28,0.08223,0.06428,0.04907,0.03588,0.02445,0.01575,0.00915,0.00526
115.83,0.0823,0.06433,0.04911,0.0359,0.02446,0.01575,0.00916,0.00527
121.09,0.08289,0.0648,0.0495,0.03612,0.02461,0.01582,0.00928,0.00531
124.47,0.08325,0.06509,0.04973,0.03626,0.02473,0.01587,0.00935,0.00532
136.09,0.08432,0.06596,0.05045,0.03672,0.02517,0.01608,0.00957,0.00535
138.67,0.08453,0.06613,0.05059,0.03682,0.02527,0.01613,0.00961,0.00536
144.18,0.08495,0.06647,0.05086,0.03702,0.02545,0.01624,0.00966,0.00539
148.99,0.0853,0.06675,0.05107,0.03719,0.02559,0.01634,0.00968,0.00542
153.22,0.08561,0.06697,0.05125,0.03733,0.02569,0.01643,0.00966,0.00545
161.05,0.08614,0.06737,0.05154,0.03756,0.02583,0.01658,0.00962,0.00551
164.5,0.08637,0.06753,0.05166,0.03766,0.02588,0.01665,0.00959,0.00553
165.14,0.08641,0.06756,0.05169,0.03767,0.02589,0.01666,0.00959,0.00554
171.04,0.08678,0.06783,0.05189,0.03781,0.02596,0.01675,0.00956,0.00559
178.27,0.08721,0.06814,0.05213,0.03795,0.02603,0.01685,0.00955,0.00564
182.64,0.08745,0.06833,0.05227,0.03803,0.02607,0.0169,0.00958,0.00567
193.86,0.08803,0.06878,0.05265,0.0382,0.02619,0.01702,0.00969,0.00572
201.58,0.08838,0.06908,0.05291,0.0383,0.02628,0.0171,0.0098,0.00573
205.81,0.08856,0.06925,0.05305,0.03835,0.02635,0.01715,0.00986,0.00572
205.85,0.08857,0.06925,0.05305,0.03835,0.02635,0.01715,0.00986,0.00572
206.5,0.08859,0.06927,0.05307,0.03836,0.02636,0.01716,0.00987,0.00572
221.04,0.08918,0.06981,0.0535,0.03856,0.02665,0.01734,0.01005,0.00565
233.48,0.08964,0.07026,0.05382,0.03874,0.02695,0.01749,0.01015,0.00561
238.06,0.08981,0.07042,0.05391,0.03881,0.02706,0.01754,0.01017,0.00562
242.83,0.08998,0.07058,0.054,0.03889,0.02717,0.01758,0.01019,0.00565
248.97,0.0902,0.07079,0.0541,0.039,0.02731,0.01763,0.01021,0.0057
252.48,0.09032,0.07091,0.05416,0.03907,0.02738,0.01765,0.01022,0.00574
254.86,0.09041,0.07099,0.05419,0.03911,0.02742,0.01765,0.01022,0.00576
256.1,0.09045,0.07103,0.05421,0.03914,0.02744,0.01766,0.01023,0.00578
267.09,0.09084,0.07138,0.05435,0.03936,0.02759,0.01764,0.01025,0.00588
281.43,0.09134,0.07178,0.05455,0.03966,0.0277,0.01757,0.0103,0.00597
286.12,0.0915,0.0719,0.05462,0.03975,0.02772,0.01755,0.01032,0.00598
288.15,0.09156,0.07195,0.05465,0.03979,0.02773,0.01755,0.01033,0.00598
295.76,0.09181,0.07213,0.05478,0.03994,0.02776,0.01755,0.01036,0.00599
295.83,0.09181,0.07213,0.05478,0.03994,0.02776,0.01755,0.01036,0.00599
302.73,0.09201,0.07228,0.05491,0.04006,0.02779,0.01759,0.01039,0.00598
305.44,0.09209,0.07233,0.05496,0.04011,0.0278,0.01761,0.0104,0.00597
318.82,0.09242,0.07259,0.05521,0.04033,0.02787,0.01773,0.01046,0.00594
337.94,0.0928,0.07292,0.05554,0.04059,0.02801,0.01793,0.01055,0.00589
338.39,0.0928,0.07293,0.05554,0.04059,0.02802,0.01794,0.01056,0.00589
340.55,0.09284,0.07297,0.05557,0.04062,0.02804,0.01796,0.01057,0.00588
347.2,0.09294,0.07308,0.05566,0.04069,0.0281,0.01803,0.0106,0.00588
347.89,0.09296,0.07309,0.05567,0.0407,0.0281,0.01803,0.0106,0.00588
351.15,0.093,0.07315,0.05571,0.04073,0.02814,0.01806,0.01062,0.00589
352.69,0.09303,0.07318,0.05573,0.04075,0.02815,0.01808,0.01062,0.00589
360.09,0.09313,0.07331,0.0558,0.04081,0.02823,0.01814,0.01066,0.00591
367.85,0.09323,0.07345,0.05587,0.04088,0.02831,0.01818,0.0107,0.00592
396.35,0.09358,0.07399,0.05607,0.0411,0.02865,0.01827,0.01084,0.00583
397.9,0.0936,0.07402,0.05608,0.04111,0.02865,0.01827,0.01085,0.00582
398.34,0.0936,0.07403,0.05608,0.04111,0.02865,0.01827,0.01085,0.00582
398.73,0.09361,0.07403,0.05609,0.04111,0.02865,0.01827,0.01085,0.00582
399.16,0.09361,0.07403,0.05609,0.04111,0.02865,0.01827,0.01085,0.00582
399.3,0.09361,0.07403,0.05609,0.04111,0.02865,0.01827,0.01085,0.00582
399.57,0.09361,0.07403,0.05609,0.04111,0.02865,0.01827,0.01086,0.00581
399.85,0.09361,0.07403,0.05609,0.04111,0.02865,0.01827,0.01086,0.00581
