size,stackHeight,VA,area,windowHeight,windowLength,window,weight
EI-187,0.1875,0.5,0.035,0.1875,0.4375,3/16 X 7/16,0.015
EE-24-25,0.25,1,0.0625,0.25,0.5,1/4 X 1/2,0.034
EI-3/8,0.375,3,0.1406,0.3125,0.75,5/16 X 3/4,0.108
EI-5/8,0.625,7,0.39,0.3125,0.9375,5/16 X 15/16,0.392
EI-3/4,0.75,14,0.5625,0.375,1.125,3/8 X 1 1/8,0.678
EI-3/4,1,19,0.75,0.375,1.125,3/8 X 1 1/8,0.904
EI-7/8,0.875,30,0.765,0.4375,1.3125,7/16 X 1 5/16,1.05
EI-7/8,1,32,0.875,0.4375,1.3125,7/16 X 1 5/16,1.2
EI-1,1,45,1,0.5,1.5,1/2 X 1 1/2,1.55
EI-1,1.25,50,1.25,0.5,1.5,1/2 X 1 1/2,1.94
EI-1 1/8,1.125,65,1.265,0.5625,1.6875,9/16 X 1 11/16,2.24
EI-1 1/4,1.25,90,1.5625,0.625,1.875,5/8 X 1 7/8,3.08
EI-1 3/8,1.375,125,1.89,0.6875,2.0625,11/16 X 2 1/16,4.17
EI-1 1/2,1.5,160,2.25,0.75,2.25,3/4 X 2 1/4,5.35
EI-1 3/8,1.75,161,2.4,0.6875,2.0625,11/16 X 2 1/16,5.31
EI-1 1/2,2.5,300,3.75,0.75,2.25,3/4 X 2 1/4,8.91
EI-1 3/4,1.75,340,3.06,0.875,2.625,7/8 X 2 5/8,8.61
EI-1 3/4,2,400,3.5,0.875,2.625,7/8 X 2 5/8,9.84
EI-1 5/8,2,450,3.25,1.25,2.625,1 1/4 X 2 5/8,7.78
